Team,Name,Position,GP,G,A,PTS,PIM
American International College Statistics and History,6,Matt Rickard,D,25,2,4,6
American International College Statistics and History,22,Timofei Khokhlachev,L,12,3,2,5
American International College Statistics and History,27,Josh Barnes,C,22,3,2,5
American International College Statistics and History,23,Theo Angesved,D,15,2,2,4
American International College Statistics and History,15,Casper Soderling,D,12,1,3,4
American International College Statistics and History,8,Hunter Jones,F,14,0,4,4
American International College Statistics and History,13,Grayson Dietrich,F,19,2,1,3
American International College Statistics and History,9,Hunter Longhi,F,8,1,2,3
American International College Statistics and History,16,Andrew Amousse,L,10,1,0,1
American International College Statistics and History,18,Akseli Pennanen,F,7,0,1,1
American International College Statistics and History,30,Cole Hudson,G,1,0,0,0
American International College Statistics and History,26,Jake Sacratini,F,2,0,0,0
American International College Statistics and History,14,Douglas Andersson,R,7,0,0,0
American International College Statistics and History,1,Alexander Aslanidis,G,9,0,0,0
American International College Statistics and History,29,Darwin Lakoduk,L,12,0,0,0
American International College Statistics and History,34,Nils Wallstrom,G,33,0,0,0
American International College Statistics and History,,Totals,119,193,312,434,
Amherst College Statistics and History,25,Ryan Tucker,F,25,16,12,28
Amherst College Statistics and History,9,Joshua Burke,F,25,10,14,24
Amherst College Statistics and History,20,Benjamin Kuzma,R,20,12,7,19
Amherst College Statistics and History,12,Tyler Bourque,F,25,4,12,16
Amherst College Statistics and History,15,Zachary Murray,F,22,6,8,14
Amherst College Statistics and History,21,Vincent Velocci,C,24,5,9,14
Amherst College Statistics and History,24,Quinton Fox,F,25,5,9,14
Amherst College Statistics and History,2,Ben Ritter,D,25,4,7,11
Amherst College Statistics and History,41,Matthew Toporowski,F,15,4,6,10
Amherst College Statistics and History,3,Matt VanderVort,F,21,2,8,10
Amherst College Statistics and History,4,Zachary Jesse,D,25,1,8,9
Amherst College Statistics and History,19,Bobby Luca,F,23,3,5,8
Amherst College Statistics and History,28,Connor Guest,F,23,5,2,7
Amherst College Statistics and History,18,Andrew Carmody,D,20,3,4,7
Amherst College Statistics and History,10,Max Thiessen,D,23,1,5,6
Amherst College Statistics and History,7,Jacob Pohl,F,16,2,2,4
Amherst College Statistics and History,27,Michael Gallagher,D,24,1,3,4
Amherst College Statistics and History,5,Spencer Kimball,D,25,1,3,4
Amherst College Statistics and History,16,Connor McGinnis,D,21,0,3,3
Amherst College Statistics and History,11,Alton Machen,F,14,0,2,2
Amherst College Statistics and History,13,Ryan Corcoran,C,22,1,0,1
Amherst College Statistics and History,14,Sergei Leonov,F,1,0,1,1
Amherst College Statistics and History,6,Oscar Smink,F,8,0,1,1
Amherst College Statistics and History,1,Connor Leslie,G,12,0,1,1
Amherst College Statistics and History,30,Andrew Palena,G,3,0,0,0
Amherst College Statistics and History,8,Quinton Gove,D,6,0,0,0
Amherst College Statistics and History,33,Alex Wisco,G,14,0,0,0
Amherst College Statistics and History,,Totals,86,132,218,204,
Anna Maria College Statistics and History,18,Braeden McKinnon,F,25,13,8,21
Anna Maria College Statistics and History,28,Guillaume Coulombe,C,25,11,10,21
Anna Maria College Statistics and History,27,Derek Raposo,D,25,8,11,19
Anna Maria College Statistics and History,12,Brandon Della Paolera,F,24,8,8,16
Anna Maria College Statistics and History,25,Matthew Gilbert,R,25,10,5,15
Anna Maria College Statistics and History,10,Pearce Baker,D,25,3,12,15
Anna Maria College Statistics and History,15,Max Wennerberg,L,23,8,5,13
Anna Maria College Statistics and History,9,Cam Tobey,F,23,3,9,12
Anna Maria College Statistics and History,37,Samson Mouland,R,24,5,3,8
Anna Maria College Statistics and History,7,Nicholas Frederick,C,25,3,4,7
Anna Maria College Statistics and History,44,Christopher Friberg,R,17,0,7,7
Anna Maria College Statistics and History,19,Bryden Sinclair,D,22,2,4,6
Anna Maria College Statistics and History,39,Justin Taylor,D,25,1,5,6
Anna Maria College Statistics and History,8,Matthew Byrne,F,7,3,2,5
Anna Maria College Statistics and History,20,Spencer Carpenter,C,20,3,2,5
Anna Maria College Statistics and History,23,Giovanni Perillo,R,13,3,1,4
Anna Maria College Statistics and History,17,August Bouveng,C,21,1,3,4
Anna Maria College Statistics and History,5,Caleb Cathcart,F,18,1,2,3
Anna Maria College Statistics and History,22,Sean McWhinnie,F,20,0,2,2
Anna Maria College Statistics and History,14,Jeremy Dewar,D,19,1,0,1
Anna Maria College Statistics and History,30,Cole Johnston,G,7,0,1,1
Anna Maria College Statistics and History,16,Max Pelletier,C,10,0,1,1
Anna Maria College Statistics and History,2,Mkyllan Couture,D,10,0,1,1
Anna Maria College Statistics and History,47,Stirling Nash,F,14,0,1,1
Anna Maria College Statistics and History,40,Matthew Hennessey,G,17,0,1,1
Anna Maria College Statistics and History,31,Connor Bradford,G,3,0,0,0
Anna Maria College Statistics and History,11,Mark Andre,D,4,0,0,0
Anna Maria College Statistics and History,6,Tyler Lyewski,D,14,0,0,0
Anna Maria College Statistics and History,,Totals,87,108,195,355,
Arizona State University Statistics and History [NCAA],61,Lukas Sillinger,L,38,11,37,48
Arizona State University Statistics and History [NCAA],27,Timothy Lovell,D,36,5,32,37
Arizona State University Statistics and History [NCAA],28,Matthew Kopperud,F,38,23,13,36
Arizona State University Statistics and History [NCAA],82,Charlie Schoen,R,33,8,16,24
Arizona State University Statistics and History [NCAA],11,Benji Eckerle,F,35,5,15,20
Arizona State University Statistics and History [NCAA],26,Brian Chambers,F,38,4,16,20
Arizona State University Statistics and History [NCAA],59,Tyler Gratton,R,36,12,6,18
Arizona State University Statistics and History [NCAA],14,Ty Jackson,F,21,6,12,18
Arizona State University Statistics and History [NCAA],25,Kyle Smolen,F,36,7,9,16
Arizona State University Statistics and History [NCAA],39,Ryan O'Reilly,R,37,9,6,15
Arizona State University Statistics and History [NCAA],20,Jackson Niedermayer,F,33,9,4,13
Arizona State University Statistics and History [NCAA],9,Anthony Dowd,D,36,3,10,13
Arizona State University Statistics and History [NCAA],15,Dylan Jackson,F,15,7,4,11
Arizona State University Statistics and History [NCAA],53,Ryan Alexander,C,27,3,7,10
Arizona State University Statistics and History [NCAA],2,Brandon Tabakin,D,36,2,8,10
Arizona State University Statistics and History [NCAA],21,Alex Young,C,37,6,3,9
Arizona State University Statistics and History [NCAA],16,Ethan Szmagaj,D,37,3,4,7
Arizona State University Statistics and History [NCAA],5,Ty Murchison,D,37,3,4,7
Arizona State University Statistics and History [NCAA],24,Joshua Niedermayer,D,19,0,4,4
Arizona State University Statistics and History [NCAA],29,Cole Gordon,F,30,3,0,3
Arizona State University Statistics and History [NCAA],89,Anthony Achille,L,12,0,3,3
Arizona State University Statistics and History [NCAA],13,Cade Alami,D,14,0,2,2
Arizona State University Statistics and History [NCAA],10,Tucker Ness,D,18,0,2,2
Arizona State University Statistics and History [NCAA],43,Cole Helm,F,6,0,1,1
Arizona State University Statistics and History [NCAA],17,Matt Romer,F,7,0,1,1
Arizona State University Statistics and History [NCAA],35,T.J. Semptimphelter,G,26,0,1,1
Arizona State University Statistics and History [NCAA],18,David Hymovitch,F,2,0,0,0
Arizona State University Statistics and History [NCAA],1,Chase Hamm,G,2,0,0,0
Arizona State University Statistics and History [NCAA],31,Gibson Homer,G,14,0,0,0
Arizona State University Statistics and History [NCAA],,Totals,129,220,349,579,
Army Statistics and History,23,Joey Baez,F,32,15,16,31
Army Statistics and History,19,Max Itagaki,F,34,6,19,25
Army Statistics and History,28,Brent Keefer,F,34,13,11,24
Army Statistics and History,2,Mac Gadowsky,D,28,4,19,23
Army Statistics and History,13,Michael Sacco,C,34,6,16,22
Army Statistics and History,4,John Driscoll,D,35,5,16,21
Army Statistics and History,8,Ricky Lyle,F,34,10,9,19
Army Statistics and History,12,Jake Hewitt,F,35,7,10,17
Army Statistics and History,9,Nikolas Hong,F,35,7,10,17
Army Statistics and History,6,Pierce Patterson,D,31,4,6,10
Army Statistics and History,17,Vincent Salice,F,34,4,6,10
Army Statistics and History,25,Barron Woodring,C,31,5,3,8
Army Statistics and History,16,Hunter McCoy,C,25,1,4,5
Army Statistics and History,22,Jude Brower,D,15,0,4,4
Army Statistics and History,3,Easton Zueger,D,21,1,2,3
Army Statistics and History,15,Lucus Kanta,F,28,1,2,3
Army Statistics and History,14,Owen Nolan,D,21,0,3,3
Army Statistics and History,20,Sean Vlasich,D,28,0,3,3
Army Statistics and History,24,Andrew Garby,D,10,2,0,2
Army Statistics and History,27,Trevor Smith,C,12,1,1,2
Army Statistics and History,21,Stephen Willey,F,20,1,1,2
Army Statistics and History,29,Eric Huss,F,15,0,1,1
Army Statistics and History,31,Evan Szary,G,26,0,1,1
Army Statistics and History,11,Josh Bohlin,C,1,0,0,0
Army Statistics and History,26,Joseph Dosan,F,2,0,0,0
Army Statistics and History,10,Jake Felker,F,14,0,0,0
Army Statistics and History,5,Jon Bell,D,18,0,0,0
Army Statistics and History,1,Gavin Abric,G,19,0,0,0
Army Statistics and History,7,Andrew Gilbert,D,33,0,0,0
Army Statistics and History,,Totals,93,163,256,345,
Augsburg College Statistics and History,17,Erik Palmqvist,F,25,7,15,22
Augsburg College Statistics and History,29,Daniel Chladek,F,25,9,10,19
Augsburg College Statistics and History,27,Cade Stibbe,R,26,7,12,19
Augsburg College Statistics and History,25,Fritz Belisle,F,26,5,13,18
Augsburg College Statistics and History,9,Landon Parker,L,26,5,13,18
Augsburg College Statistics and History,22,Kyler Yeo,F,26,6,7,13
Augsburg College Statistics and History,19,Nick Catalano,F,25,9,3,12
Augsburg College Statistics and History,20,Peyton Hanson,F,26,6,6,12
Augsburg College Statistics and History,21,Michael Ferrandino,D,24,3,8,11
Augsburg College Statistics and History,11,Luke Mountain,F,26,3,6,9
Augsburg College Statistics and History,23,Jake Hale,C,24,2,7,9
Augsburg College Statistics and History,4,Gunnar Williams,D,12,1,7,8
Augsburg College Statistics and History,6,Logan Kons,D,26,0,8,8
Augsburg College Statistics and History,7,Dylan Schneider,F,25,4,2,6
Augsburg College Statistics and History,5,Vincent Weis,D,26,2,3,5
Augsburg College Statistics and History,15,Duke Kiffin,D,25,0,4,4
Augsburg College Statistics and History,3,Tommy Carls,F,20,3,0,3
Augsburg College Statistics and History,8,James Miller,D,24,0,3,3
Augsburg College Statistics and History,26,Blaine Warnert,F,14,1,0,1
Augsburg College Statistics and History,10,Konnor Carlson,L,18,1,0,1
Augsburg College Statistics and History,14,Jake Osiecki,D,9,0,1,1
Augsburg College Statistics and History,35,Samuel Vyletelka,G,26,0,1,1
Augsburg College Statistics and History,30,Josh Koziol,G,1,0,0,0
Augsburg College Statistics and History,16,Zach Carson,D,2,0,0,0
Augsburg College Statistics and History,,Totals,74,129,203,248,
Augustana University Statistics and History,17,Ryan Naumovski,F,34,8,17,25
Augustana University Statistics and History,15,Luke Mobley,F,34,12,7,19
Augustana University Statistics and History,10,Arnaud Vachon,F,34,8,8,16
Augustana University Statistics and History,20,Uula Ruikka,D,29,5,9,14
Augustana University Statistics and History,9,Hayden Hennen,D,32,4,10,14
Augustana University Statistics and History,8,Ben Troumbly,C,28,5,8,13
Augustana University Statistics and History,72,Brett Meerman,F,29,3,10,13
Augustana University Statistics and History,81,Owen Bohn,L,31,6,6,12
Augustana University Statistics and History,21,Quinn Rudrud,F,29,5,7,12
Augustana University Statistics and History,27,Chase Brand,F,30,5,7,12
Augustana University Statistics and History,24,Colton Friesen,C,24,3,8,11
Augustana University Statistics and History,7,Evan McIntyre,D,34,3,8,11
Augustana University Statistics and History,22,Brady Ziemer,D,34,3,7,10
Augustana University Statistics and History,13,Will Howard,F,25,4,5,9
Augustana University Statistics and History,18,Jack Jensen,C,15,4,4,8
Augustana University Statistics and History,12,Hunter Bischoff,F,26,4,4,8
Augustana University Statistics and History,28,Shay Donovan,D,32,2,6,8
Augustana University Statistics and History,23,Simon Falk,F,26,0,7,7
Augustana University Statistics and History,26,Callum Gau,F,28,2,3,5
Augustana University Statistics and History,3,Anthony Stark,D,30,2,3,5
Augustana University Statistics and History,19,Will Svenddal,D,19,0,2,2
Augustana University Statistics and History,40,Zachary Rose,G,15,0,1,1
Augustana University Statistics and History,84,Jeff Hutchinson,D,21,0,1,1
Augustana University Statistics and History,29,Kayden Hargraves,G,9,0,0,0
Augustana University Statistics and History,32,Joshua Kotai,G,13,0,0,0
Augustana University Statistics and History,25,Brian Silver,D,16,0,0,0
Augustana University Statistics and History,,Totals,88,148,236,902,
Bemidji State University Statistics and History,29,Lleyton Roed,F,38,14,16,30
Bemidji State University Statistics and History,7,Kyle Looft,D,32,6,22,28
Bemidji State University Statistics and History,11,Eric Martin,R,38,8,18,26
Bemidji State University Statistics and History,23,Eric Pohlkamp,D,32,11,13,24
Bemidji State University Statistics and History,9,Carter Jones,C,37,6,18,24
Bemidji State University Statistics and History,19,Jackson Jutting,C,27,10,12,22
Bemidji State University Statistics and History,8,Adam Flammang,F,38,9,10,19
Bemidji State University Statistics and History,22,Austin Jouppi,F,37,2,17,19
Bemidji State University Statistics and History,16,Jere Vaisanen,F,37,9,8,17
Bemidji State University Statistics and History,20,Kirklan Irey,F,37,8,7,15
Bemidji State University Statistics and History,6,Mitchell Wolfe,D,38,1,12,13
Bemidji State University Statistics and History,28,Kasper Magnussen,L,29,7,4,11
Bemidji State University Statistics and History,25,Vincent Corcoran,D,34,2,9,11
Bemidji State University Statistics and History,27,Jake McLean,L,38,6,4,10
Bemidji State University Statistics and History,21,Alexander Lundman,C,20,3,5,8
Bemidji State University Statistics and History,18,Rhys Chiddenton,F,23,2,6,8
Bemidji State University Statistics and History,13,Donte Lawson,F,17,4,3,7
Bemidji State University Statistics and History,12,Patrik Satosaari,D,31,1,5,6
Bemidji State University Statistics and History,14,Liam Engstrom,R,17,3,2,5
Bemidji State University Statistics and History,2,Tony Follmer,D,28,1,4,5
Bemidji State University Statistics and History,5,William Magnuson,D,32,0,5,5
Bemidji State University Statistics and History,15,Logan Acheson,D,28,2,2,4
Bemidji State University Statistics and History,26,Jakub Lewandowski,F,9,1,1,2
Bemidji State University Statistics and History,17,Noah Quinn,C,18,1,0,1
Bemidji State University Statistics and History,35,Raythan Robbins,G,3,0,0,0
Bemidji State University Statistics and History,3,Jack Powell,D,4,0,0,0
Bemidji State University Statistics and History,1,Gavin Enright,G,15,0,0,0
Bemidji State University Statistics and History,30,Mattias Sholl,G,24,0,0,0
Bemidji State University Statistics and History,,Totals,117,203,320,247,
Boston College Statistics and History,6,William Smith,C,41,25,46,71
Boston College Statistics and History,19,Cutter Gauthier,L,41,38,27,65
Boston College Statistics and History,9,Ryan Leonard,R,41,31,29,60
Boston College Statistics and History,34,Gabriel Perreault,R,36,19,41,60
Boston College Statistics and History,21,Oskar Jellvik,L,41,13,29,42
Boston College Statistics and History,2,Eamon Powell,D,40,5,33,38
Boston College Statistics and History,24,Andre Gasseau,C,40,12,17,29
Boston College Statistics and History,13,Jack Malone,R,41,12,13,25
Boston College Statistics and History,8,Lukas Gustafsson,D,41,3,13,16
Boston College Statistics and History,7,Aidan Hreschuk,D,41,2,13,15
Boston College Statistics and History,15,Jacob Bengtsson,D,40,3,11,14
Boston College Statistics and History,25,Jamie Armstrong,L,32,5,7,12
Boston College Statistics and History,17,Aram Minnetian,D,40,3,6,9
Boston College Statistics and History,5,Drew Fortescue,D,40,4,4,8
Boston College Statistics and History,11,Colby Ambrosio,C,40,2,6,8
Boston College Statistics and History,12,Michael Posma,F,41,2,6,8
Boston College Statistics and History,22,William Vote,R,20,1,7,8
Boston College Statistics and History,4,Charlie Leddy,D,39,0,8,8
Boston College Statistics and History,27,Connor Joyce,C,35,2,4,6
Boston College Statistics and History,14,Gentry Shamburger,F,30,1,1,2
Boston College Statistics and History,1,Jacob Fowler,G,39,0,2,2
Boston College Statistics and History,30,Jan Korec,G,4,0,0,0
Boston College Statistics and History,3,Nolan Joyce,D,4,0,0,0
Boston College Statistics and History,23,Will Traeger,L,9,0,0,0
Boston College Statistics and History,,Totals,183,323,506,381,
Boston University Statistics and History,71,Mack Celebrini,C,38,32,32,64
Boston University Statistics and History,20,Lane Hutson,D,38,15,34,49
Boston University Statistics and History,17,Quinn Hutson,R,40,18,18,36
Boston University Statistics and History,9,Ryan Greene,C,40,12,24,36
Boston University Statistics and History,16,Jeremy Wilmer,L,38,6,30,36
Boston University Statistics and History,11,Luke Tuch,F,39,10,20,30
Boston University Statistics and History,18,Shane LaChance,L,40,13,14,27
Boston University Statistics and History,5,Tom Willander,D,38,4,21,25
Boston University Statistics and History,21,Devin Kaplan,R,37,5,18,23
Boston University Statistics and History,13,Dylan Peterson,C,35,8,12,20
Boston University Statistics and History,27,Jack Hughes,C,38,7,12,19
Boston University Statistics and History,25,Sam Stevens,C,40,10,7,17
Boston University Statistics and History,10,Nicholas Zabaneh,F,40,8,8,16
Boston University Statistics and History,12,Jack Harvey,L,20,7,8,15
Boston University Statistics and History,7,Case McCarthy,D,39,4,5,9
Boston University Statistics and History,22,Aiden Celebrini,D,36,1,5,6
Boston University Statistics and History,8,Cade Webber,D,38,0,6,6
Boston University Statistics and History,2,Gavin McCarthy,D,38,1,4,5
Boston University Statistics and History,4,Ty Gallagher,D,37,0,5,5
Boston University Statistics and History,23,Doug Grimes,F,23,2,1,3
Boston University Statistics and History,14,"Mick ""Fitz"" Frechette",F,7,0,2,2
Boston University Statistics and History,29,Nick Howard,G,1,0,0,0
Boston University Statistics and History,33,Max Lacroix,G,1,0,0,0
Boston University Statistics and History,28,Thomas Jarman,D,1,0,0,0
Boston University Statistics and History,30,Henry Graham,G,2,0,0,0
Boston University Statistics and History,3,Tristan Amonte,F,8,0,0,0
Boston University Statistics and History,62,Mathieu Caron,G,40,0,0,0
Boston University Statistics and History,,Totals,163,286,449,450,
Brown University Statistics and History,9,Ryan St. Louis,L,30,13,11,24
Brown University Statistics and History,10,Ryan Bottrill,L,30,3,16,19
Brown University Statistics and History,26,Max Scott,F,22,7,11,18
Brown University Statistics and History,11,Tyler Kopff,L,30,6,12,18
Brown University Statistics and History,3,Alex Pineau,D,30,7,8,15
Brown University Statistics and History,22,Ethan Mistry,D,30,0,11,11
Brown University Statistics and History,4,Brett Bliss,D,30,2,7,9
Brown University Statistics and History,12,Matthew Sutton,F,24,3,5,8
Brown University Statistics and History,27,Jordan Tonelli,C,16,3,4,7
Brown University Statistics and History,23,Jackson Munro,D,18,2,4,6
Brown University Statistics and History,8,Ryan Shostak,C,30,3,2,5
Brown University Statistics and History,15,Antonio Andreozzi,D,30,2,3,5
Brown University Statistics and History,5,Nick Traggio,D,26,3,1,4
Brown University Statistics and History,16,Thomas Manty,F,18,2,1,3
Brown University Statistics and History,17,Mike Cataldo,F,26,2,1,3
Brown University Statistics and History,25,Zack Tonelli,R,30,1,2,3
Brown University Statistics and History,24,Brendan Clark,F,16,0,3,3
Brown University Statistics and History,20,Noah Wakeford,F,23,0,2,2
Brown University Statistics and History,21,Wyatt Schlaht,L,11,1,0,1
Brown University Statistics and History,18,Dean Bauchiero,F,21,1,0,1
Brown University Statistics and History,19,Matthew Brille,F,11,0,1,1
Brown University Statistics and History,1,Lawton Zacher,G,26,0,1,1
Brown University Statistics and History,6,Harry Meirowitz,D,1,0,0,0
Brown University Statistics and History,14,Spencer Evans,D,9,0,0,0
Brown University Statistics and History,35,Tyler Shea,G,10,0,0,0
Brown University Statistics and History,13,Lynden Grandberg,F,18,0,0,0
Brown University Statistics and History,28,Gavin Puskar,F,26,0,0,0
Brown University Statistics and History,,Totals,61,106,167,201,
Clarkson University Statistics and History,13,Mathieu Gosselin,R,31,11,17,28
Clarkson University Statistics and History,15,Ayrton Martino,L,31,9,18,27
Clarkson University Statistics and History,29,Anthony Romano,C,27,10,15,25
Clarkson University Statistics and History,26,Ryan Richardson,L,35,7,16,23
Clarkson University Statistics and History,4,Trey Taylor,D,35,4,13,17
Clarkson University Statistics and History,28,Ryan Taylor,F,24,10,6,16
Clarkson University Statistics and History,39,Eric Ciccolini,R,34,8,8,16
Clarkson University Statistics and History,20,Cody Monds,F,30,7,8,15
Clarkson University Statistics and History,17,Jesse Tucker,F,34,4,10,14
Clarkson University Statistics and History,5,Tristan Sarsland,D,34,5,7,12
Clarkson University Statistics and History,19,Ellis Rickwood,C,22,4,5,9
Clarkson University Statistics and History,9,Erik Bargholtz,F,29,4,5,9
Clarkson University Statistics and History,18,Noah Beck,D,30,3,6,9
Clarkson University Statistics and History,2,Jack Judson,D,35,0,7,7
Clarkson University Statistics and History,16,Daimon Gardner,C,29,1,5,6
Clarkson University Statistics and History,3,Kaelan Taylor,D,34,1,5,6
Clarkson University Statistics and History,27,Dustyn McFaul,D,35,3,0,3
Clarkson University Statistics and History,21,George Grannis,F,30,2,1,3
Clarkson University Statistics and History,23,Oliver Moberg,C,24,0,3,3
Clarkson University Statistics and History,14,Talon Sigurdson,F,25,1,1,2
Clarkson University Statistics and History,8,Carter Rose,D,15,1,0,1
Clarkson University Statistics and History,12,Caden Lewandowski,D,12,0,1,1
Clarkson University Statistics and History,10,Brady Egan,F,18,0,1,1
Clarkson University Statistics and History,33,Austin Roden,G,25,0,1,1
Clarkson University Statistics and History,1,Emmett Croteau,G,6,0,0,0
Clarkson University Statistics and History,34,Brady Parker,G,6,0,0,0
Clarkson University Statistics and History,11,Charlie Russell,R,7,0,0,0
Clarkson University Statistics and History,,Totals,95,159,254,362,
Colby College Statistics and History,3,John McElaney,F,25,7,11,18
Colby College Statistics and History,20,Jack Sullivan,D,24,2,13,15
Colby College Statistics and History,22,Matthew MacDonald,F,24,3,10,13
Colby College Statistics and History,13,Henry Molson,F,25,6,6,12
Colby College Statistics and History,28,Tyler Crist,R,19,4,7,11
Colby College Statistics and History,18,Jake MacDonald,F,23,4,7,11
Colby College Statistics and History,4,Griffin Grise,D,25,4,7,11
Colby College Statistics and History,12,Jayden Grier,L,21,8,2,10
Colby College Statistics and History,26,Dhillon Wilde,R,19,3,7,10
Colby College Statistics and History,24,Nick Stapleton,F,25,3,4,7
Colby College Statistics and History,19,Bobby Landry,F,23,2,5,7
Colby College Statistics and History,8,James Tepper,F,16,6,0,6
Colby College Statistics and History,11,Michael McEachern,F,25,3,3,6
Colby College Statistics and History,17,Ryan Doolin,F,23,1,5,6
Colby College Statistics and History,48,Max O'Brien,D,24,0,5,5
Colby College Statistics and History,14,Donovan O'Neil,L,19,3,1,4
Colby College Statistics and History,21,Will Molson,F,19,2,2,4
Colby College Statistics and History,6,Javi Ubarri,D,12,2,1,3
